CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE325902,08/04/2021 02:01:00 PM,083XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,622,21,15,1172425,1849576,41.74267567,-87.643809802,"(41.74267567, -87.643809802)"
JE326107,08/04/2021 02:07:00 PM,063XX S CICERO AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,813,13,06,1145467,1862130,41.77767637,-87.742269586,"(41.77767637, -87.742269586)"
JE326079,08/04/2021 02:09:00 PM,006XX N HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1121,27,14,1153599,1903999,41.892412923,-87.711345756,"(41.892412923, -87.711345756)"
JE328420,08/04/2021 02:15:00 PM,069XX S WOOD ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,735,17,06,1165546,1858671,41.767782122,-87.668757212,"(41.767782122, -87.668757212)"
JE325965,08/04/2021 02:15:00 PM,062XX S STEWART AVE,0545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,N,N,711,20,08A,1174692,1863689,41.781353265,-87.635083754,"(41.781353265, -87.635083754)"
JE325986,08/04/2021 02:15:00 PM,017XX W DIVISION ST,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,N,N,1424,1,06,1164558,1908044,41.903287652,-87.670983202,"(41.903287652, -87.670983202)"
JE325962,08/04/2021 02:26:00 PM,007XX W 51ST ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,935,20,06,1172068,1871046,41.801599748,-87.644487776,"(41.801599748, -87.644487776)"
JE325964,08/04/2021 02:27:00 PM,001XX E 59TH ST,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,ALLEY,N,N,232,20,15,1178308,1865932,41.78742694,-87.621758727,"(41.78742694, -87.621758727)"
JE325942,08/04/2021 02:29:00 PM,075XX S DREXEL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,624,8,15,1183536,1855254,41.758005175,-87.602922614,"(41.758005175, -87.602922614)"
JE326006,08/04/2021 02:30:00 PM,069XX S CREGIER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,332,5,04A,1189397,1859419,41.769295727,-87.581309548,"(41.769295727, -87.581309548)"
JE325939,08/04/2021 02:30:00 PM,006XX N CLARK ST,0820,THEFT,$500 AND UNDER,RESTAURANT,N,N,1832,42,06,1175417,1904850,41.894286155,-87.631192176,"(41.894286155, -87.631192176)"
JE323346,08/04/2021 02:32:00 PM,068XX S WOLCOTT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,BASEMENT,N,N,726,17,01A,1164869,1859265,41.769426466,-87.671221967,"(41.769426466, -87.671221967)"
JE326126,08/04/2021 02:36:00 PM,079XX S EBERHART AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,N,N,624,6,15,1180951,1852428,41.750310161,-87.612483046,"(41.750310161, -87.612483046)"
JE325947,08/04/2021 02:40:00 PM,005XX S PULASKI RD,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA TRAIN,N,N,1132,24,03,1149812,1897228,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
JE325976,08/04/2021 02:43:00 PM,035XX W LYNDALE ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,Y,N,1413,35,26,1152670,1914734,41.921889185,-87.714473168,"(41.921889185, -87.714473168)"
JE326010,08/04/2021 02:46:00 PM,106XX S EDBROOKE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,512,9,08A,1179144,1834433,41.70097096,-87.619651367,"(41.70097096, -87.619651367)"
JE325975,08/04/2021 02:46:00 PM,028XX W 51ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,923,14,08B,1158321,1870711,41.800971719,-87.694912573,"(41.800971719, -87.694912573)"
JE325970,08/04/2021 02:50:00 PM,004XX S DEARBORN ST,0560,ASSAULT,SIMPLE,RESTAURANT,Y,N,113,4,08A,1175998,1898388,41.876541001,-87.629253085,"(41.876541001, -87.629253085)"
JE325991,08/04/2021 02:55:00 PM,062XX S INDIANA AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,311,20,04A,1178698,1863731,41.781378313,-87.62039569,"(41.781378313, -87.62039569)"
JE326258,08/04/2021 03:00:00 PM,054XX S LAKE PARK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,234,5,07,1187671,1869362,41.796621347,-87.587319956,"(41.796621347, -87.587319956)"
JE326034,08/04/2021 03:00:00 PM,084XX S KINGSTON AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,423,7,04A,1194633,1849605,41.742238128,-87.562439521,"(41.742238128, -87.562439521)"
JE328100,08/04/2021 03:00:00 PM,082XX S ESCANABA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,423,7,11,1196927,1850883,41.745688359,-87.553992091,"(41.745688359, -87.553992091)"
JE326028,08/04/2021 03:00:00 PM,036XX N ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),Y,N,1922,47,26,1165005,1924275,41.947816995,-87.66887929,"(41.947816995, -87.66887929)"
JE327538,08/04/2021 03:00:00 PM,004XX E 69TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,322,6,14,1180322,1859363,41.769354982,-87.614575636,"(41.769354982, -87.614575636)"
JE326206,08/04/2021 03:00:00 PM,015XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,1424,1,11,1163126,1910316,41.909552404,-87.676179294,"(41.909552404, -87.676179294)"
JE334800,08/04/2021 03:00:00 PM,003XX N DESPLAINES ST,0810,THEFT,OVER $500,DEPARTMENT STORE,N,N,1214,42,06,1171859,1902722,41.888525948,-87.644322264,"(41.888525948, -87.644322264)"
JE325981,08/04/2021 03:14:00 PM,034XX W FRANKLIN BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1121,27,15,1153351,1903120,41.89000579,-87.712279929,"(41.89000579, -87.712279929)"
JE326070,08/04/2021 03:15:00 PM,071XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,323,6,14,1177960,1857687,41.764809696,-87.623284289,"(41.764809696, -87.623284289)"
JE326021,08/04/2021 03:16:00 PM,001XX E 79TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,623,6,15,1178670,1852666,41.751015398,-87.62083438,"(41.751015398, -87.62083438)"
JE326000,08/04/2021 03:19:00 PM,002XX W ALEXANDER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,914,25,07,1174977,1889231,41.851436491,-87.633275991,"(41.851436491, -87.633275991)"
JE326067,08/04/2021 03:20:00 PM,013XX N BURLING ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1822,27,08B,1170994,1908944,41.905618509,-87.64731613,"(41.905618509, -87.64731613)"
JE326015,08/04/2021 03:20:00 PM,003XX W SWANN ST,0560,ASSAULT,SIMPLE,RESIDENCE,N,N,925,3,08A,1174892,1874071,41.809838069,-87.634040886,"(41.809838069, -87.634040886)"
JE326033,08/04/2021 03:20:00 PM,026XX N LAVERGNE AVE,0460,BATTERY,SIMPLE,APARTMENT,Y,Y,2521,31,08B,1142600,1917289,41.929093825,-87.751409824,"(41.929093825, -87.751409824)"
